,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
63,64,Kendall Wright,TEN,25,WR,14,11,93,57,61.30%,715,12.5,6,32,48,7.7,4.1,51.1,1,2014
64,65,DeSean Jackson,WAS,28,WR,15,13,95,56,58.90%,1169,20.9,6,37,81,12.3,3.7,77.9,0,2014
65,66,Mohamed Sanu,CIN,25,WR,16,13,98,56,57.10%,790,14.1,5,38,76,8.1,3.5,49.4,0,2014
66,67,Riley Cooper,PHI,27,WR,16,16,95,55,57.90%,577,10.5,3,25,50,6.1,3.4,36.1,1,2014
67,68,Brandin Cooks,NOR,21,WR,10,7,69,53,76.80%,550,10.4,3,25,50,8.0,5.3,55.0,1,2014
68,69,Cecil Shorts,JAX,27,WR,13,12,110,53,48.20%,557,10.5,1,27,53,5.1,4.1,42.8,1,2014
69,70,Markus Wheaton,PIT,23,WR,16,11,86,53,61.60%,644,12.2,2,34,47,7.5,3.3,40.3,0,2014
70,71,Jared Cook,STL,27,TE,16,6,99,52,52.50%,634,12.2,3,32,59,6.4,3.3,39.6,0,2014
71,72,Malcom Floyd,SDG,33,WR,16,16,92,52,56.50%,856,16.5,6,39,59,9.3,3.3,53.5,0,2014
72,73,Shane Vereen,NWE,25,RB,16,6,77,52,67.50%,447,8.6,3,24,49,5.8,3.3,27.9,0,2014
73,74,Harry Douglas,ATL,30,WR,12,6,74,51,68.90%,556,10.9,2,29,41,7.5,4.3,46.3,0,2014
74,75,Coby Fleener,IND,26,TE,16,12,92,51,55.40%,774,15.2,8,40,73,8.4,3.2,48.4,0,2014
75,76,Percy Harvin,2TM,26,WR,13,12,78,51,65.40%,483,9.5,1,0,45,6.2,3.9,37.2,3,2014
76,77,Allen Hurns,JAX,23,WR,16,8,97,51,52.60%,677,13.3,6,26,63,7.0,3.2,42.3,0,2014
77,78,Jordan Reed,WAS,24,TE,11,2,65,50,76.90%,465,9.3,0,23,30,7.2,4.5,42.3,1,2014
78,79,Torrey Smith,BAL,25,WR,16,16,92,49,53.30%,767,15.7,11,38,53,8.3,3.1,47.9,0,2014
79,80,Wes Welker,DEN,33,WR,14,8,64,49,76.60%,464,9.5,2,24,39,7.3,3.5,33.1,0,2014
80,81,Kenny Britt,STL,26,WR,16,13,84,48,57.10%,748,15.6,3,33,63,8.9,3.0,46.8,0,2014
81,82,John Brown,ARI,24,WR,16,5,102,48,47.10%,696,14.5,5,31,75,6.8,3.0,43.5,0,2014
82,83,Jerricho Cotchery,CAR,32,WR,15,13,78,48,61.50%,580,12.1,1,29,47,7.4,3.2,38.7,0,2014
83,84,Owen Daniels,BAL,32,TE,15,13,79,48,60.80%,527,11.0,4,32,39,6.7,3.2,35.1,0,2014
84,85,Allen Robinson,JAX,21,WR,10,8,81,48,59.30%,548,11.4,2,26,54,6.8,4.8,54.8,0,2014
85,86,Miles Austin,CLE,30,WR,12,11,73,47,64.40%,568,12.1,2,34,31,7.8,3.9,47.3,0,2014
86,87,Scott Chandler,BUF,29,TE,16,5,70,47,67.10%,497,10.6,3,28,37,7.1,2.9,31.1,0,2014
87,88,Michael Floyd,ARI,25,WR,16,14,99,47,47.50%,841,17.9,6,34,63,8.5,2.9,52.6,4,2014
88,89,Andre Holmes,OAK,26,WR,16,13,99,47,47.50%,693,14.7,4,32,77,7.0,2.9,43.3,0,2014
89,90,Andre Ellington,ARI,25,RB,12,12,64,46,71.90%,395,8.6,2,19,81,6.2,3.8,32.9,2,2014
90,91,Benny Cunningham,STL,24,RB,16,2,52,45,86.50%,352,7.8,1,21,19,6.8,2.8,22.0,2,2014
91,92,Pierre Thomas,NOR,30,RB,11,3,55,45,81.80%,378,8.4,1,19,39,6.9,4.1,34.4,0,2014
92,93,Matt Asiata,MIN,27,RB,15,9,63,44,69.80%,312,7.1,1,7,41,5.0,2.9,20.8,1,2014
93,94,Justin Forsett*,BAL,29,RB,16,14,59,44,74.60%,263,6.0,0,10,26,4.5,2.8,16.4,2,2014
94,95,Giovani Bernard,CIN,23,RB,13,9,59,43,72.90%,349,8.1,2,14,46,5.9,3.3,26.8,0,2014
95,96,Julius Thomas*,DEN,26,TE,13,10,62,43,69.40%,489,11.4,12,30,35,7.9,3.3,37.6,1,2014
96,97,Roy Helu,WAS,26,RB,14,0,47,42,89.40%,477,11.4,2,16,55,10.1,3.0,34.1,2,2014
97,98,Eddie Lacy,GNB,24,RB,16,16,55,42,76.40%,427,10.2,4,18,67,7.8,2.6,26.7,3,2014
98,99,Jarius Wright,MIN,25,WR,16,7,62,42,67.70%,588,14.0,2,25,87,9.5,2.6,36.8,0,2014
